SOA,Education Skills and Training Domain Rank,Proportion of pupils attending Special Schools or attending primary school with Special Education Needs Stages 3-5 (Rank),Absenteeism at Primary Schools (Rank),Proportion of school leavers not achieving at least five GCSEs at English and Maths (Rank),Proportion of those leaving school aged 16 17 and 18 not entering Education Employment or Training (Rank),Proportion of 18-21 year olds who have not enrolled in Higher Education Courses at Higher Education or Further Education establishments (Rank),Proportion of pupils attending Special Schools or who are attending post-primary schools with Special Education Needs Stages 3-5 (Rank),Absenteeism at post-primary schools (Rank),Proportion of working age adults (25-64) with no or low levels of qualification (Rank),Proportion of pupils attending Special Schools or attending primary school with Special Education Needs Stages 3-5 (%),Absenteeism at Primary Schools (% of possible attendance),Proportion of school leavers not achieving five or more GCSEs (and equivalent) incl. English and Maths (%),Proportion of those leaving school aged 16 17 and 18 not entering Education Employment or Training (%),Proportion of 18-21 year olds who have not enrolled in Higher Education Courses at Higher or Further Education establishments (%),Proportion of pupils attending Special Schools or who are attending post-primary schools with Special Education Needs Stages 3-5 (%),Absenteeism at post-primary schools (% of possible attendance),Proportions of working age adults (25-64) with no or low levels of qualification (%)
Church,33,34,53,50,535,67,10,17,97,16.3,7.1,63,1.8,83.7,20.3,11.4,50.6
Churchill 1,711,94,693,801,849,831,560,289,767,13.3,3.5,15.8,0,46.7,7.1,7.4,23.2
Churchill 2,801,387,712,887,260,701,332,644,800,9.2,3.4,0.5,3.8,54.6,9.2,5.3,21.2
Churchland,149,608,319,101,86,180,535,119,92,7.5,4.9,55.1,6.6,74.8,7.3,9.2,51
Clady,719,727,589,734,520,458,617,809,647,6.3,3.8,19.4,1.9,62.7,6.6,4.3,28.8
Clanabogan,680,434,828,696,536,735,372,628,491,8.8,3.1,21.1,1.8,53.3,8.9,5.4,34
Clandeboye 1,379,555,373,361,247,304,603,375,559,7.9,4.6,36.2,3.9,68.1,6.8,6.7,31.7
Clandeboye 2,636,485,591,730,282,580,524,517,715,8.4,3.8,19.7,3.6,59.1,7.4,5.9,25.5
Clandeboye 3,124,419,194,73,117,105,544,30,440,9,5.6,59.6,5.9,80.2,7.3,10.9,36.1
Clare,451,489,755,373,434,473,575,612,137,8.4,3.3,35.7,2.4,62.3,7,5.4,47.8
Claudy 1,471,109,521,669,711,441,571,525,240,12.9,4,22.6,0.9,63,7,5.9,42.9
Claudy 2,571,259,562,588,607,516,561,759,304,10.5,3.9,26.6,1.4,60.9,7.1,4.7,40.4
Cliftonville 1,183,91,186,236,104,258,162,229,159,13.4,5.7,44,6,70.1,12.3,8,46.8
Cliftonville 2,580,241,449,810,235,421,178,715,428,10.7,4.3,14.6,4.1,63.6,12,5,36.4
Cliftonville 3,129,176,170,197,59,151,36,226,96,11.7,5.8,47,7.7,76.3,17.2,8,50.6
Clipperstown,159,560,220,154,109,136,763,98,112,7.8,5.4,50.1,6,77.6,5.2,9.5,49.2
Clogh Mills,459,507,407,604,503,350,681,554,279,8.3,4.4,25.9,2,66.1,6,5.7,41.3
Clogher,393,371,851,258,399,500,192,338,328,9.4,2.9,42.3,2.6,61.4,11.7,7,39.8
Clonallan 1,198,74,75,117,703,301,675,187,322,14.2,6.6,53.1,1,68.2,6.1,8.4,39.9
Clonallan 2,661,206,327,719,786,690,715,639,708,11.3,4.8,20.2,0.4,55.2,5.6,5.3,25.9
Clonard 1,101,289,97,90,205,198,97,199,46,10.2,6.4,57.4,4.4,74,14,8.2,57.4
Clonard 2,73,67,84,131,22,146,15,173,75,14.4,6.5,52,10,76.9,19.6,8.5,52.9
Clondermot 1,174,140,107,160,400,303,292,245,104,12.1,6.3,50,2.6,68.1,9.9,7.9,49.6
Clondermot 2,551,154,586,590,339,650,193,562,597,11.9,3.8,26.5,3.1,56.6,11.7,5.7,30.4
Cloughfern 1,446,395,657,306,791,387,649,408,460,9.2,3.6,39,0.1,64.8,6.4,6.5,35.3
Cloughfern 2,278,747,246,152,790,110,862,297,330,6.2,5.3,50.3,0.2,79.5,3.2,7.3,39.8
Coagh,413,519,703,387,370,374,463,487,277,8.2,3.5,35.1,2.9,65.2,8,6,41.3
Coalisland North,325,592,211,402,204,498,591,307,269,7.6,5.5,34.3,4.4,61.5,6.9,7.3,41.7
Coalisland South,199,290,57,353,264,393,424,138,167,10.2,7,36.6,3.8,64.7,8.4,9,46.5
Coalisland West and Newmills,235,185,66,338,325,360,384,157,449,11.6,6.8,37.2,3.2,65.7,8.8,8.7,35.8
Collin Glen 1,50,36,60,252,43,82,8,25,69,16.1,6.9,42.7,9,81.5,21.5,11.1,53.8
Collin Glen 2,30,56,19,100,199,62,11,93,13,14.9,7.8,55.3,4.5,84,20.3,9.6,65
Collin Glen 3,11,60,40,48,229,64,4,10,20,14.8,7.2,63.6,4.2,83.9,22.5,12,62.2
Collinbridge 1,763,571,757,705,234,798,395,795,674,7.8,3.3,20.9,4.1,49.4,8.7,4.5,27.8
Collinbridge 2,733,537,539,661,429,608,578,829,768,8.1,4,22.9,2.4,58,7,4.1,23.1
Comber East 1,271,536,229,184,827,240,570,161,507,8.1,5.4,48.3,0,71.2,7,8.7,33.5
Comber East 2,634,682,480,478,692,444,876,771,518,6.8,4.1,30.7,1,63,2.7,4.6,33.2
Comber North 1,59,523,101,56,865,72,265,9,110,8.2,6.3,62.1,0,82.9,10.3,12,49.3
Comber North 2,569,509,587,507,352,545,812,515,572,8.3,3.8,29.8,3,60,4.5,5.9,31.3
Comber West 1,804,869,510,771,819,649,752,853,750,3.6,4,17.6,0,56.7,5.4,3.9,24
Comber West 2,791,860,538,468,456,850,885,833,735,4.1,4,31.3,2.3,44.9,2.3,4.1,24.6
Conlig 1,402,322,390,465,341,452,314,329,628,9.9,4.5,31.4,3.1,62.8,9.5,7.1,29.6
Conlig 2,458,638,622,375,212,309,515,357,712,7.2,3.7,35.7,4.3,68,7.5,6.8,25.7
Conlig 3,192,355,217,200,156,90,558,223,215,9.5,5.4,46.9,5.2,81.1,7.1,8.1,44
Coole,71,90,129,128,114,23,308,106,82,13.4,6.1,52.2,5.9,87.7,9.7,9.4,51.6
Coolessan,67,502,147,58,857,98,53,32,58,8.3,5.9,61.9,0,80.6,15.9,10.9,55.9
Coolhill,361,697,185,419,194,156,629,580,405,6.6,5.7,33.5,4.6,76.1,6.5,5.6,37.1
Coolnagard,468,596,273,466,787,642,405,506,378,7.6,5.1,31.4,0.4,56.9,8.6,6,37.9
Corcrain 1,136,376,77,229,414,140,115,171,109,9.3,6.6,44.2,2.5,77.4,13.5,8.6,49.4
Corcrain 2,81,522,34,63,273,33,338,243,77,8.2,7.3,61.2,3.7,86.8,9.2,7.9,52.6
Court 1,68,136,51,157,445,132,218,53,40,12.2,7.1,50,2.3,77.8,11.2,10.3,58.8
Court 2,115,651,151,80,201,278,60,81,114,7.1,5.9,58.7,4.4,69.1,15.3,9.8,49.1
Craigavad,846,861,854,818,757,770,879,716,857,4.1,2.9,13.7,0.7,51.4,2.7,5,16.2
Craigy Hill,145,490,275,79,176,153,422,115,180,8.4,5.1,58.7,4.9,76.2,8.4,9.3,45.8
Craigywarren,827,859,863,643,527,737,758,882,639,4.1,2.8,23.8,1.9,53.2,5.2,3.5,29
Cranfield,774,551,860,677,768,777,846,630,607,7.9,2.9,22.3,0.6,51,3.6,5.4,30.3
Crawfordsburn,850,612,814,837,602,857,686,812,873,7.4,3.1,11.8,1.5,43.9,6,4.3,12.8
Cregagh,80,9,223,93,202,35,111,144,149,19.1,5.4,56.6,4.4,86.7,13.6,8.9,47.1
Creggan,391,792,471,238,668,342,521,590,262,5.6,4.2,43.8,1.1,66.2,7.5,5.6,41.9
Creggan Central 1,31,103,37,67,64,138,195,38,9,13.1,7.2,60.5,7.4,77.5,11.7,10.8,66
Creggan Central 2,165,255,82,194,11,561,783,113,59,10.5,6.5,47.4,11.5,59.7,4.9,9.3,55.8
Creggan South,57,246,70,114,72,241,146,43,17,10.7,6.7,53.4,7,71.1,12.6,10.6,64.2
Crevagh 1,372,391,206,470,356,600,426,368,367,9.2,5.5,31.2,3,58.2,8.4,6.7,38.5
Crevagh 2,32,187,25,143,318,186,64,13,7,11.6,7.5,51.3,3.3,74.3,15.1,11.7,66.3
Crevagh 3,259,332,111,506,425,634,257,130,165,9.8,6.3,29.8,2.4,57.1,10.5,9.1,46.6
Cross Glebe,139,361,458,64,40,137,323,262,68,9.5,4.2,61.1,9.1,77.6,9.4,7.7,54.3
Crossgar 1,698,484,664,676,636,612,383,802,594,8.5,3.6,22.3,1.3,57.8,8.8,4.4,30.5
Crossgar 2,553,334,426,578,552,537,297,458,759,9.8,4.3,26.8,1.7,60.3,9.8,6.2,23.8
Crossmaglen,276,702,274,213,382,233,350,543,160,6.6,5.1,45.6,2.8,71.5,9.1,5.8,46.8
Crumlin 1 (Antrim LGD),476,158,339,689,385,663,176,395,511,11.9,4.8,21.4,2.7,56.2,12,6.6,33.4
Crumlin 1 (Belfast LGD),20,79,35,81,37,27,118,69,4,14,7.3,58.5,9.2,87.5,13.4,10,67.2
Crumlin 2 (Antrim LGD),390,262,231,487,161,354,439,579,472,10.5,5.4,30.4,5.1,65.8,8.2,5.6,34.7
Crumlin 2 (Belfast LGD),10,13,27,38,6,31,95,45,11,18.4,7.4,65.6,12.5,86.9,14.1,10.6,65.9
Cullybackey,380,819,572,388,151,192,417,479,352,5.2,3.9,35.1,5.3,74.2,8.5,6.1,39.2
Culmore 1,793,824,333,744,192,863,798,799,782,5.1,4.8,19.1,4.6,42.4,4.7,4.5,22.3
Culmore 2,64,254,11,62,522,169,214,231,18,10.6,8,61.5,1.9,75.3,11.3,8,63.6
Culmore 3,128,271,58,185,112,294,274,150,79,10.4,6.9,48.2,6,68.5,10.2,8.8,52.4
Culmore 4,377,477,4,635,386,614,415,634,326,8.5,9.5,24.3,2.7,57.8,8.5,5.4,39.9
Culmore 5,826,786,378,869,772,818,668,826,792,5.6,4.6,6.1,0.6,47.6,6.1,4.2,21.7
Cultra,871,632,795,873,597,868,864,839,870,7.3,3.2,4.9,1.5,42.2,3.1,4,14
Daisy Hill 1,105,83,24,165,514,133,154,213,76,13.9,7.5,49.8,2,77.7,12.4,8.1,52.9
Daisy Hill 2,213,114,41,459,159,157,441,371,186,12.7,7.1,31.7,5.1,76,8.2,6.7,45.5
Dalriada,608,258,347,511,573,744,255,779,593,10.5,4.8,29.7,1.6,52.7,10.6,4.6,30.5
Demesne 1,762,605,461,770,663,759,555,750,763,7.5,4.2,17.6,1.1,52.2,7.1,4.8,23.5
Demesne 2,502,164,346,718,661,691,453,344,479,11.8,4.8,20.3,1.2,55.1,8,6.9,34.5
Dergmoney,564,624,432,623,274,658,421,556,520,7.4,4.3,25.1,3.7,56.3,8.4,5.7,33.1
Derryaghy 1,261,213,254,312,254,149,182,442,312,11.2,5.2,38.7,3.8,76.5,11.8,6.3,40.1
Derryaghy 2,434,444,447,586,286,295,566,533,337,8.8,4.3,26.6,3.6,68.5,7,5.8,39.6
Derryaghy 3,397,384,379,405,345,468,347,401,560,9.3,4.6,34.2,3,62.4,9.1,6.6,31.7
Derryboy 1,792,796,809,700,330,664,600,811,794,5.5,3.1,21,3.1,56.2,6.8,4.3,21.5
Derryboy 2,657,360,515,554,633,780,704,659,652,9.5,4,27.7,1.3,50.7,5.8,5.2,28.6
Derrygonnelly,546,342,749,439,771,622,229,548,466,9.6,3.3,32.8,0.6,57.5,10.9,5.8,34.9
Derryleckagh 1,800,588,545,793,867,809,873,840,519,7.7,4,16.2,0,48.6,2.8,4,33.2
Derryleckagh 2,748,639,402,777,565,667,678,807,696,7.2,4.4,17.2,1.6,55.9,6,4.3,26.4
Derrylin,487,452,666,391,814,559,91,553,394,8.7,3.6,35,0,59.7,14.2,5.7,37.4
Derrymore 1,242,209,189,497,460,291,108,131,334,11.2,5.7,30.1,2.3,68.7,13.6,9.1,39.8
Derrymore 2,240,418,244,254,417,267,161,274,260,9,5.3,42.6,2.5,69.8,12.3,7.6,42
Derrynoose,664,775,637,694,789,617,330,749,380,5.8,3.7,21.2,0.3,57.7,9.3,4.8,37.8
Derrytrasna 1,681,737,797,563,424,626,390,765,540,6.2,3.2,27.4,2.5,57.3,8.7,4.7,32.3
Derrytrasna 2,570,617,778,463,635,508,210,598,499,7.4,3.2,31.5,1.3,61.1,11.4,5.5,33.7
Dervock,439,264,370,324,375,786,588,425,406,10.4,4.7,38.2,2.8,50.3,6.9,6.4,37.1
Devenish,153,61,160,430,378,173,1,158,144,14.8,5.8,33.3,2.8,75.2,29.7,8.7,47.4
Doagh 1,720,652,847,701,334,517,576,653,707,7.1,2.9,20.9,3.1,60.9,7,5.3,25.9
Doagh 2,645,886,698,444,719,567,770,496,646,2.7,3.5,32.6,0.9,59.4,5,6,28.8
Donagh,605,647,481,823,307,635,267,660,267,7.1,4.1,13.3,3.3,57,10.3,5.2,41.7
Donaghadee North 1,623,517,676,832,856,189,291,549,568,8.2,3.6,12.3,0,74.2,9.9,5.8,31.4
Donaghadee North 2,790,287,494,851,544,766,813,712,813,10.2,4.1,10.2,1.8,51.7,4.5,5,19.9
Donaghadee South 1,163,263,128,180,298,155,811,54,239,10.4,6.1,48.5,3.4,76.1,4.5,10.3,42.9
Donaghadee South 2,385,350,322,526,603,293,482,303,555,9.6,4.9,28.7,1.4,68.6,7.8,7.3,31.9
Donaghcloney 1,520,761,727,374,319,281,318,670,564,6,3.4,35.7,3.3,69,9.5,5.2,31.5
Donaghcloney 2,688,851,651,475,529,546,789,710,732,4.4,3.6,30.9,1.9,59.9,4.9,5,24.7
Donaghmore,586,345,581,579,169,544,557,731,486,9.6,3.8,26.8,5,60,7.1,4.9,34.1
Donaghmore 1,727,777,554,722,828,675,539,810,468,5.8,3.9,20,0,55.7,7.3,4.3,34.8
Donaghmore 2,783,520,803,530,729,804,886,831,551,8.2,3.2,28.6,0.8,48.9,2.1,4.1,32
Donard 1,675,721,388,798,594,676,208,615,702,6.4,4.5,16,1.5,55.6,11.4,5.4,26.1
Donard 2,735,771,519,580,477,816,444,721,808,5.8,4,26.8,2.2,47.7,8.2,4.9,20.1
Downs,368,329,438,268,323,497,342,626,231,9.8,4.3,41.3,3.2,61.6,9.1,5.4,43.1
Downshire,473,655,544,560,287,158,296,588,558,7.1,4,27.4,3.6,76,9.8,5.6,31.8
Draperstown,575,411,343,652,781,425,717,752,317,9.1,4.8,23.2,0.5,63.5,5.6,4.8,39.9
Dromara 1,861,233,862,844,755,869,768,861,831,10.8,2.8,10.9,0.7,40.9,5,3.8,18.1
Dromara 2,693,316,732,537,816,754,310,748,650,9.9,3.4,28.3,0,52.3,9.6,4.8,28.7
Dromore,595,110,842,710,747,531,354,567,278,12.8,3,20.7,0.7,60.5,9.1,5.7,41.3
Dromore North,351,442,434,316,315,239,385,407,494,8.8,4.3,38.4,3.3,71.3,8.8,6.5,33.9
Dromore South 1,687,648,805,310,804,519,859,772,637,7.1,3.2,38.8,0,60.8,3.3,4.6,29.1
Dromore South 2,736,511,766,573,614,641,751,758,752,8.3,3.3,27.1,1.4,56.9,5.4,4.8,24
Drumalane 1,322,575,100,291,708,280,370,443,475,7.8,6.3,40,0.9,69.1,8.9,6.3,34.6
Drumalane 2,625,741,265,675,432,674,826,539,660,6.2,5.2,22.3,2.4,55.8,4.2,5.8,28.2
Drumanaway,573,733,529,638,474,569,565,480,506,6.3,4,24,2.2,59.3,7,6.1,33.5
Drumaness 1,369,405,317,512,284,316,306,372,482,9.1,4.9,29.6,3.6,67.7,9.7,6.7,34.3
Drumaness 2,662,756,683,641,512,672,209,584,718,6.1,3.5,23.8,2,55.8,11.4,5.6,25.4
Drumbo 1,885,871,877,879,660,862,707,870,880,3.5,2.5,3.6,1.2,42.8,5.7,3.6,10.9
Drumbo 2,823,190,678,860,815,763,756,834,793,11.5,3.6,8.4,0,52,5.3,4.1,21.6
Drumgask 1,164,251,300,137,78,181,171,220,124,10.6,5,51.5,6.8,74.7,12.1,8.1,48.3
Drumgask 2,24,81,90,14,246,47,35,67,21,14,6.4,70.6,3.9,85.3,17.3,10,62.1
Drumglass,206,331,112,223,178,215,135,363,237,9.8,6.3,44.6,4.8,72.9,12.9,6.8,43
Drumgor 1,195,394,171,109,236,203,282,259,291,9.2,5.7,54.1,4.1,73.6,10,7.7,41
Drumgor 2,37,336,15,21,164,171,18,64,81,9.7,7.8,69.5,5.1,75.3,19.1,10.1,52
Drumgullion 1,102,298,18,96,871,225,55,111,103,10.1,7.8,55.9,0,72,15.7,9.4,50
Drumgullion 2,399,657,125,522,587,510,636,350,461,7.1,6.1,29,1.5,61.1,6.5,6.8,35.2
Drumnakilly,639,393,636,678,551,714,683,689,347,9.2,3.7,22.2,1.7,54.1,6,5.1,39.4
Drumnamoe 1,62,292,88,210,84,106,337,35,28,10.2,6.4,45.9,6.6,80,9.2,10.8,61.4
Drumnamoe 2,332,85,634,598,228,311,520,237,198,13.8,3.7,26.1,4.2,67.9,7.5,7.9,44.9
Drumquin,507,576,561,606,874,494,416,555,207,7.8,3.9,25.8,0,61.6,8.5,5.7,44.2
Drumragh,542,598,304,704,413,607,429,560,427,7.5,5,20.9,2.5,58,8.3,5.7,36.4
Dufferin,196,339,338,147,836,161,542,55,305,9.7,4.8,51,0,75.9,7.3,10.3,40.3
Dunanney,43,121,197,71,110,5,216,66,48,12.5,5.6,59.6,6,91.6,11.3,10,57.3
Duncairn 1,35,78,22,107,15,41,177,21,120,14,7.7,54.3,11.1,86.1,12,11.2,48.8
Duncairn 2,56,99,99,36,162,69,222,88,62,13.1,6.3,65.9,5.1,83.4,11.1,9.6,55.1
Dunclug,96,580,62,122,12,40,353,153,139,7.7,6.8,52.5,11.4,86.1,9.1,8.8,47.7
Dundonald 1,747,829,469,743,691,509,410,800,783,5,4.2,19.1,1,61.1,8.5,4.4,22.3
Dundonald 2,655,821,361,726,461,399,622,767,604,5.2,4.7,19.8,2.2,64.5,6.6,4.7,30.3
Dundooan 1,345,709,609,97,105,440,748,361,424,6.5,3.7,55.6,6,63,5.4,6.8,36.5
Dundooan 2,752,842,465,766,380,742,750,597,809,4.7,4.2,17.8,2.8,52.9,5.4,5.5,20.1
Dundrum,427,616,551,428,396,324,231,388,609,7.4,3.9,33.3,2.6,67.1,10.9,6.6,30.1
Dungiven,455,232,499,648,506,539,612,449,212,10.8,4.1,23.4,2,60.2,6.7,6.3,44
Dunloy,643,686,625,650,688,527,640,760,345,6.7,3.7,23.3,1,60.6,6.4,4.7,39.5
Dunluce,670,223,726,275,487,725,698,852,588,11,3.4,41.1,2.1,53.6,5.8,3.9,30.6
Dunminning,701,838,785,517,769,431,827,773,526,4.7,3.2,29.3,0.6,63.3,4.2,4.6,33
Dunmore,656,595,738,551,465,680,254,620,728,7.6,3.4,27.8,2.2,55.5,10.6,5.4,24.9
Dunmurry 1,641,521,476,812,381,466,595,468,727,8.2,4.2,14.4,2.8,62.5,6.8,6.2,25.1
Dunmurry 2,841,783,598,846,524,859,755,845,826,5.7,3.8,10.6,1.9,43.3,5.4,4,19.2
Dunnamanagh,443,283,718,697,653,555,309,378,93,10.3,3.4,21.1,1.2,59.8,9.6,6.7,50.8
Dunnamore,590,779,498,469,369,715,872,730,176,5.7,4.1,31.3,2.9,54.1,2.8,4.9,46
East,14,202,50,17,433,188,83,7,10,11.3,7.1,70,2.4,74.3,14.5,12.3,66
Ebrington 1,602,260,425,864,794,548,163,404,514,10.5,4.3,7,0.1,59.8,12.3,6.5,33.3
Ebrington 2,166,583,173,204,80,97,225,164,187,7.7,5.7,46.8,6.7,80.6,11,8.7,45.5
Eden 1,585,826,747,476,310,373,525,500,688,5.1,3.3,30.8,3.3,65.2,7.4,6,26.8
Eden 2,480,446,468,564,90,529,460,472,527,8.8,4.2,27.4,6.5,60.6,8,6.2,32.9
Edenderry,182,104,282,227,430,152,150,176,172,13,5.1,44.3,2.4,76.2,12.5,8.5,46.2
Edenderry 1,449,618,393,644,278,538,604,186,537,7.4,4.5,23.8,3.7,60.2,6.8,8.4,32.6
Edenderry 2,426,797,360,500,889,370,41,318,502,5.5,4.7,30,0,65.4,16.8,7.2,33.6
Eglinton 1,707,789,514,714,541,838,567,596,606,5.6,4,20.6,1.8,46.1,7,5.5,30.3
Eglinton 2,685,466,640,755,785,632,362,618,670,8.5,3.7,18.7,0.4,57.1,9,5.4,27.9
Enagh 1 (Derry LGD),280,234,348,309,365,345,234,440,183,10.8,4.8,38.8,2.9,66.2,10.9,6.3,45.6
Enagh 1 (Limavady LGD),710,695,780,711,403,751,476,688,512,6.7,3.2,20.7,2.6,52.4,7.9,5.1,33.4
Enagh 2 (Derry LGD),729,705,497,715,634,684,766,735,693,6.6,4.1,20.6,1.3,55.4,5.1,4.9,26.5
Enagh 2 (Limavady LGD),173,642,203,190,308,141,49,263,88,7.2,5.6,47.6,3.3,77.4,16.3,7.7,51.3
Enler,130,106,127,209,253,89,283,143,150,12.9,6.1,46,3.9,81.2,10,8.9,47.1
Erne,205,39,126,276,291,351,63,255,288,16,6.1,41.1,3.5,66,15.2,7.8,41.1
Fair Green,223,593,191,133,158,122,364,417,311,7.6,5.7,51.9,5.2,78.5,9,6.5,40.1
Fairhill,411,867,646,251,713,270,580,627,147,3.7,3.6,42.9,0.9,69.6,7,5.4,47.2
Fairy Water,802,857,629,783,666,829,516,848,584,4.2,3.7,16.7,1.1,46.9,7.5,3.9,30.9
Falls 1,27,455,106,45,36,88,5,57,8,8.7,6.3,64.2,9.2,81.2,22.4,10.2,66.1
Falls 2,9,29,109,27,122,75,9,58,1,16.6,6.3,67.3,5.8,82.6,20.6,10.2,71.7
Falls 3,46,142,59,75,47,26,174,73,64,12.1,6.9,59.3,8.6,87.7,12.1,9.9,54.8
Falls Park 1,293,309,320,329,807,562,79,139,400,10,4.9,37.6,0,59.6,14.6,9,37.2
Falls Park 2,428,62,479,630,66,615,119,569,325,14.7,4.1,24.6,7.4,57.7,13.4,5.7,39.9
Falls Park 3,340,295,408,613,91,401,130,316,293,10.1,4.4,25.7,6.4,64.5,13,7.2,40.7
Farranshane,138,28,286,53,237,114,610,242,177,16.8,5.1,62.5,4,79.3,6.7,7.9,46
Fathom,355,396,13,601,458,512,467,403,473,9.2,7.9,26,2.3,61,8,6.5,34.7
Feeny,389,430,414,539,367,609,518,470,123,8.9,4.4,28.2,2.9,57.9,7.5,6.2,48.3
Finaghy 1,816,609,776,768,471,846,834,768,772,7.4,3.3,17.8,2.2,45.4,4.1,4.7,22.8
Finaghy 2,875,472,836,856,416,872,627,883,867,8.5,3,9.3,2.5,39.9,6.6,3.5,14.6
Finaghy 3,819,875,796,746,578,644,513,858,807,3.4,3.2,19.1,1.6,56.8,7.5,3.8,20.7
Finn,236,687,381,241,511,266,572,148,146,6.7,4.6,43.6,2,69.8,7,8.9,47.2
Fintona,436,864,694,440,854,339,641,339,156,3.9,3.5,32.7,0,66.3,6.4,6.9,46.9
Fivemiletown,298,408,364,377,863,409,532,166,208,9.1,4.7,35.6,0,64.2,7.3,8.6,44.2
Florence Court and Kinawley,583,143,801,533,868,693,44,611,386,12.1,3.2,28.5,0,55.1,16.7,5.4,37.7
Forest,492,711,517,515,662,449,842,471,253,6.5,4,29.5,1.1,62.9,3.9,6.2,42.2
Forkhill 1,448,225,403,572,679,587,213,310,539,11,4.4,27.1,1.1,58.7,11.3,7.2,32.4
Forkhill 2,624,813,611,698,561,631,536,502,521,5.3,3.7,21.1,1.7,57.1,7.3,6,33.1
Fort,383,180,334,483,285,368,733,384,453,11.7,4.8,30.6,3.6,65.5,5.5,6.6,35.5
Fortwilliam 1,797,845,486,866,515,621,212,867,605,4.5,4.1,6.7,2,57.5,11.4,3.7,30.3
Fortwilliam 2,266,253,225,445,134,252,747,208,249,10.6,5.4,32.5,5.6,70.5,5.4,8.2,42.4
Fortwilliam 3,630,216,592,804,76,694,211,474,730,11.1,3.8,15.2,6.9,55,11.4,6.2,24.8
Fountain Hill,215,186,230,187,718,223,247,270,203,11.6,5.4,48,0.9,72.1,10.7,7.6,44.6
Foyle Springs 1,738,809,424,761,558,814,664,699,642,5.3,4.3,18.5,1.7,47.9,6.2,5.1,28.9
Foyle Springs 2,343,858,174,499,111,423,528,246,338,4.1,5.7,30,6,63.6,7.4,7.8,39.6
Galgorm 1,750,887,599,728,652,627,835,784,465,2.7,3.8,19.8,1.2,57.3,4.1,4.6,34.9
Galgorm 2,873,890,781,843,450,873,821,864,842,1.3,3.2,11,2.3,39,4.3,3.8,17.2
Galwally,834,312,762,826,336,834,514,857,859,9.9,3.3,12.9,3.1,46.3,7.5,3.8,16.1
Gardenmore,536,584,508,403,142,251,866,743,534,7.7,4.1,34.3,5.4,70.5,3,4.8,32.6
Garvagh,467,389,770,455,68,398,328,687,243,9.2,3.3,31.9,7.2,64.6,9.4,5.1,42.7
Gilford,289,706,401,425,272,182,237,314,236,6.5,4.4,33.4,3.7,74.7,10.8,7.2,43
Gilnahirk,829,435,704,855,750,726,367,855,844,8.8,3.5,9.6,0.7,53.6,8.9,3.9,17
Glack,653,496,689,737,620,637,512,685,391,8.4,3.5,19.3,1.4,57,7.5,5.1,37.5
Glebe,678,483,557,510,655,752,699,801,528,8.5,3.9,29.7,1.2,52.3,5.8,4.4,32.9
Glebe 1 (Magherafelt LGD),610,658,259,330,582,718,820,697,706,7.1,5.2,37.6,1.5,53.9,4.4,5.1,25.9
Glebe 1 (Newtownabbey LGD),558,324,707,501,480,489,238,571,626,9.9,3.5,30,2.1,61.7,10.8,5.6,29.6
Glebe 2 (Magherafelt LGD),131,96,149,129,418,179,65,305,60,13.2,5.9,52.1,2.5,74.9,15.1,7.3,55.4
Glebe 2 (Newtownabbey LGD),694,718,462,817,295,745,621,538,666,6.4,4.2,13.8,3.4,52.7,6.6,5.8,28
Glen 1,45,27,104,68,128,49,398,19,86,16.8,6.3,60.2,5.7,85.1,8.6,11.2,51.4
Glen 2,654,650,605,674,845,696,361,367,762,7.1,3.7,22.3,0,54.9,9,6.7,23.5
Glen Road 1,220,15,159,354,342,259,84,390,219,18,5.8,36.5,3,70.1,14.5,6.6,43.8
Glen Road 2,300,75,297,548,130,454,402,261,276,14.2,5,27.9,5.7,62.8,8.6,7.7,41.4
Glen Road 3,126,49,154,112,35,190,169,277,119,15.3,5.9,53.4,9.2,74.2,12.1,7.5,48.9
Glenaan and Glendun,682,822,389,608,468,666,830,796,505,5.1,4.5,25.7,2.2,56,4.1,4.5,33.5
Glenariff,743,772,501,791,283,652,823,792,582,5.8,4.1,16.4,3.6,56.5,4.3,4.5,31.1
Glenarm,554,150,553,592,601,618,676,485,535,12,3.9,26.4,1.5,57.7,6.1,6.1,32.6
Glenavy 1,649,307,628,657,469,721,701,537,661,10,3.7,23,2.2,53.6,5.8,5.8,28.1
Glenavy 2,652,239,756,593,684,416,303,744,698,10.7,3.3,26.4,1.1,63.8,9.7,4.8,26.4
Glencairn 1,15,6,76,46,16,15,100,39,32,19.4,6.6,64,11,89.3,13.9,10.8,60.3
Glencairn 2,99,18,140,110,189,118,106,235,71,17.7,6,53.9,4.6,79,13.8,7.9,53.6
Glencolin 1,353,240,482,355,226,437,389,406,351,10.7,4.1,36.4,4.2,63.1,8.7,6.5,39.2
Glencolin 2,168,282,226,260,17,224,272,236,55,10.3,5.4,42.1,10.7,72,10.2,7.9,56.3
Glencolin 3,109,73,209,104,2,175,264,154,136,14.2,5.5,54.9,14.8,75,10.3,8.8,47.8
Glencolin 4,118,219,116,217,18,167,381,133,65,11.1,6.2,45.1,10.7,75.4,8.8,9.1,54.7
Glenderg,247,214,398,385,359,402,456,214,74,11.1,4.5,35.2,2.9,64.5,8,8.1,53.1
Glengormley 1,388,267,533,362,54,518,202,400,591,10.4,4,36.1,8.1,60.9,11.5,6.6,30.5
